rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.000284181	-0.000475	-8.52121e-05	0.0119113	0.0527851	0.0281475	0.0972362	0.1646771
0.000208691	-3.49546e-05	0.000333104	4.43596e-05	0.0344569	0.0455677	0.0411716	0.0943079154
0.000478273	-0.000397567	-9.13203e-05	0.0079524	-0.0127507	0.0252346	0.0617538	0.1282796754
-3.31115e-05	3.7674e-05	0.000181202	4.14996e-06	0.0604171	0.0568166	0.0913209	0.17365544004
-3.31115e-05	-1.74448e-07	0.000456258	5.42535e-05	0.0458362	0.0373944	0.0284436	0.04969842594
0.000102201	1.43705e-05	0.000464095	0.00349261	-0.00357471	0.0253365	0.0522629	0.0727918889
-4.504110000000001e-07	-2.3299e-05	0.000444739	0.00305673	0.055054	0.0525192	0.0656666	0.09423113555
0.00024955	-0.000475	0.000196298	0.0110093	0.00931439	0.0253492	0.0626474	0.12836930055
-4.504110000000001e-07	-0.000475	-7.329869999999998e-05	0.0119273	-0.0157214	0.0324943	0.0318585	0.05907874555
-5.62824e-05	-0.000475	0.000167054	0.0113995	0.0502923	0.0720193	0.0781684	0.1208757344499999
7.12284e-05	-2.98399e-05	0.000472318	-4.72915e-06	0.011622	0.0415858	0.0580271	0.1244047741499999
-4.504110000000001e-07	-0.000329933	-0.000283082	0.00921795	-0.0135328	0.0415754	0.0476865	0.0907464747
-0.000203781	-1.53208e-05	0.00042013	1.84435e-05	0.0508496	0.0754236999999999	0.0840679	0.1684879459499998
0.00024955	2.40992e-05	0.000380349	-5.23201e-05	0.0088825399999999	0.0699178	0.0503271	0.0741703236
0.000266402	-0.000341087	-9.97004e-05	0.0137187	-0.0375152	0.0380362	0.0643622	0.1351547400999999
-0.000240001	4.20502e-05	0.000341979	9.28771e-06	0.0428028	0.0823823	0.103753	0.20493449229
-0.000119601	-0.000475	-6.4312e-05	0.00926475	-0.0110319	0.0398092	0.0776207	0.15785032229
-0.000119601	-0.000327486	-0.000157307	0.013358	-0.00649759	0.0516353	0.0160354	0.03247911
-5.38973e-05	-0.000475	0.000112677	0.0127957	0.0357025	0.0715918	0.0484754	0.086878975
-2.7627e-05	-0.000357598	-0.00027924	0.0128276	-0.0272688	0.0380773	0.0740636999999999	0.1232971649999999
7.30369e-05	-0.000135544	-4.94742e-06	0.0110654	0.0209671	0.0349627	0.0512013	0.082963224
-0.000148348	-0.000363997	-5.37335e-05	0.0115554	0.0479943	0.0381579	0.0327057	0.055643599
0.000265301	-0.00037359	-0.000117961	0.0077704999999999	-0.0116885	0.0381076	0.064903	0.0878914750000001
3.67448e-05	-0.000350904	-2.85871e-05	0.00974906	0.0436832	0.0618334	0.0631947	0.098106865
0.000147357	-0.000270174	-0.000161457	0.0111271	0.00947989	0.0300747	0.0485383	0.083550655
0.000298863	-0.00025259	3.59183e-05	0.0141412	0.00945539	0.0381415	0.0151249	0.029428665
-3.02181e-05	-0.000475	1.64571e-05	0.0164739	0.0625784	0.0596804	0.0630006	0.105542225
7.947949999999998e-05	-0.000475	-0.000234326	0.0199362	-0.00231192	0.0381999	0.070152	0.107857155
5.25989e-05	-0.000258745	-9.64214e-05	0.0172267	0.0413488	0.0662213	0.0537304	0.0934436299999999
-2.87202e-05	-0.000330034	-9.86599e-05	0.0186312	0.0226259	0.0618563	0.019599	0.0322347299999999
5.25989e-05	-0.000475	-8.16854e-05	0.0162393	-0.00675364	0.0342918	0.0421988	0.07149892
-0.000134923	-0.000236779	0.000134231	8.6532e-05	0.0670665	0.0567606	0.0814898	0.144524673
0.000255274	0.000102519	0.000356634	-0.00990078	0.0216543	0.0226084	0.0671226	0.137146612
0.000329623	-0.000299381	-6.03519e-05	0.00517457	0.0216661	0.0348094	0.03277	0.071949895
-0.000125829	-0.000262731	-4.60423e-06	0.0076895799999999	0.0590335	0.0800561999999999	0.0677453	0.1125216934999998
0.00015613	-0.000265738	0.00015575	3.12912e-05	-0.00554203	0.0453802	0.0778192	0.1291758302999998
-1.95227e-05	-0.000127443	-1.24141e-05	0.012167	0.046506	0.0906284	0.0731865	0.1335375288
4.40489e-05	-0.000153793	-0.000222176	0.00690114	-0.00757091	0.0441926	0.0729695999999999	0.120762745
0.000351804	-0.000168136	-0.000155504	0.0074613099999999	-0.00146692	0.0359858	0.0203711	0.0343094649999999
9.4406e-05	-8.370109999999998e-05	-7.62018e-05	0.00816846	0.0631452	0.058292	0.0715492	0.108682225
1.39363e-05	-0.000177266	-0.000238322	0.00628433	0.00177525	0.0389762	0.0645898	0.09937762
0.000399361	-5.63845e-05	-2.49925e-05	0.00714581	0.0207107	0.0375917	0.0296105	0.057163215
-4.91431e-05	-0.000152808	0.000361165	-0.00545384	0.0776391	0.0663092	0.0739781999999999	0.144799805
9.4406e-05	-3.48498e-05	0.000344901	0.000136447	0.0114872	0.0442776	0.0714881	0.107662352
