Node	CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
CEREBELLUM_LEFT	1.0	-0.2840120196342468	0.09512010216712952	0.04204646497964859	0.48367297649383545	-0.20727063715457916	-0.0633198618888855	-0.05498838052153587	0.40624216198921204	-0.09069276601076126	0.10301215201616287	-0.09530078619718552	0.5006570816040039	0.10888118296861649	0.5407176613807678	-0.06481081992387772	0.17968004941940308	0.5416086316108704	0.2876981496810913
THALAMUS_LEFT	-0.2840120196342468	1.0	0.4316835105419159	0.5667742490768433	-0.2800773084163666	0.36176836490631104	0.5485912561416626	0.5402066111564636	-0.30218929052352905	0.5391688942909241	0.1475764513015747	0.47060924768447876	0.021552544087171555	0.18079087138175964	-0.009845593012869358	0.555328905582428	0.4466839134693146	-0.13273407518863678	-0.19202077388763428
CAUDATE_LEFT	0.09512010216712952	0.4316835105419159	1.0	0.36015835404396057	0.19684389233589172	-0.03153441846370697	0.11419158428907394	0.2475363314151764	0.16571880877017975	0.2707225978374481	0.08578982949256897	0.44149813055992126	0.624898374080658	0.15728770196437836	0.5247237086296082	0.1178705021739006	0.1494179219007492	0.331972599029541	0.22856394946575165
PUTAMEN_LEFT	0.04204646497964859	0.5667742490768433	0.36015835404396057	1.0	-0.28156957030296326	-0.1560109406709671	0.2081591784954071	0.2440195530653	-0.03482649475336075	0.25337573885917664	-0.1729927659034729	0.5558774471282959	0.39757460355758667	0.8016483783721924	0.1257951259613037	0.2796645164489746	0.32011154294013977	0.030861809849739075	0.1730116754770279
PALLIDUM_LEFT	0.48367297649383545	-0.2800773084163666	0.19684389233589172	-0.28156957030296326	1.0	0.17919020354747772	-0.1656891107559204	0.13774532079696655	0.05382746458053589	0.07130178064107895	0.2769453227519989	-0.27305662631988525	0.30817705392837524	-0.33207887411117554	0.2969570457935333	-0.08313643932342529	0.17163145542144775	0.43294447660446167	0.24830864369869232
BRAIN_STEM	-0.20727063715457916	0.36176836490631104	-0.03153441846370697	-0.1560109406709671	0.17919020354747772	1.0	0.45212510228157043	0.3810519278049469	-0.5220624804496765	0.47103098034858704	0.28385409712791443	-0.017415612936019897	-0.3259827196598053	-0.35241615772247314	-0.05093657597899437	0.5703688263893127	0.33153870701789856	-0.35411322116851807	-0.296511173248291
HIPPOCAMPUS_LEFT	-0.0633198618888855	0.5485912561416626	0.11419158428907394	0.2081591784954071	-0.1656891107559204	0.45212510228157043	1.0	0.7430173754692078	0.05219905823469162	0.7278173565864563	0.44825947284698486	0.068283811211586	0.1664724051952362	-0.0039287288673222065	0.05891307443380356	0.9174098968505859	0.6411576867103577	0.08507880568504333	-0.02472357079386711
AMYGDALA_LEFT	-0.05498838052153587	0.5402066111564636	0.2475363314151764	0.2440195530653	0.13774532079696655	0.3810519278049469	0.7430173754692078	1.0	0.03798820078372955	0.7898322939872742	0.39986079931259155	-0.11303297430276871	0.1511826515197754	-0.020910795778036118	0.07357974350452423	0.7636771202087402	0.839775562286377	0.21710509061813354	0.10416773706674576
ACCUMBENS_LEFT	0.40624216198921204	-0.30218929052352905	0.16571880877017975	-0.03482649475336075	0.05382746458053589	-0.5220624804496765	0.05219905823469162	0.03798820078372955	1.0	0.09588394314050674	-0.2788960933685303	-0.1174556314945221	0.45863890647888184	0.17087964713573456	0.48737120628356934	-0.061279602348804474	0.14392586052417755	0.665777862071991	0.4149768650531769
DIENCEPHALON_VENTRAL_LEFT	-0.09069276601076126	0.5391688942909241	0.2707225978374481	0.25337573885917664	0.07130178064107895	0.47103098034858704	0.7278173565864563	0.7898322939872742	0.09588394314050674	1.0	0.1894323229789734	-0.08397641032934189	0.19875949621200562	0.11063738912343979	0.2792934775352478	0.7241196632385254	0.6316743493080139	0.2917943596839905	0.12017717212438583
